Id,Airline,Confirmed,CreationDate,Date,Destination,FlightNumber,Scheduled,Type
976,Icelandair,07:42,2021-07-24,2021-06-29,París CDG,FI542,07:40,Departure
977,Icelandair,07:59,2021-07-24,2021-06-29,London Heathrow,FI450,07:40,Departure
978,Icelandair,07:43,2021-07-24,2021-06-29,Berlin Brandenburg,FI528,07:40,Departure
979,Icelandair,07:36,2021-07-24,2021-06-29,Amsterdam,FI500,07:40,Departure
980,Icelandair,08:46,2021-07-24,2021-06-29,Kaupmannahöfn,FI204,07:45,Departure
981,Delta,09:28,2021-07-24,2021-06-29,Minneapolis St Paul,DL261,09:30,Departure
982,Play,10:01,2021-07-24,2021-06-29,Tenerife South,OG620,10:05,Departure
983,SAS,10:28,2021-07-24,2021-06-29,Kaupmannahöfn,SK596,10:30,Departure
984,British Airways,10:51,2021-07-24,2021-06-29,London Heathrow,BA801,10:45,Departure
985,Delta,11:15,2021-07-24,2021-06-29,New York JFK,DL247,11:15,Departure
986,United Airlines,11:11,2021-07-24,2021-06-29,New York Newark,UA967,11:20,Departure
987,Lufthansa,13:19,2021-07-24,2021-06-29,Frankfurt,LH857,13:35,Departure
988,Icelandair,16:41,2021-07-24,2021-06-29,Washington Dulles,FI645,16:50,Departure
989,Icelandair,16:54,2021-07-24,2021-06-29,Denver,FI671,16:55,Departure
990,Icelandair,16:58,2021-07-24,2021-06-29,New York JFK,FI615,17:00,Departure
991,Icelandair,17:06,2021-07-24,2021-06-29,Seattle,FI681,17:05,Departure
992,Icelandair,17:28,2021-07-24,2021-06-29,Boston,FI631,17:15,Departure
993,Wizz Air,20:16,2021-07-24,2021-06-29,Mílanó,W65566,19:20,Departure
994,Wizz Air,20:46,2021-07-24,2021-06-29,Gdansk,W61774,20:25,Departure
995,Lufthansa,00:18,2021-07-24,2021-06-28,Frankfurt,LH869,00:25,Departure
996,Icelandair,07:27,2021-07-24,2021-06-28,Frankfurt,FI520,07:25,Departure
997,Icelandair,07:32,2021-07-24,2021-06-28,Stokkhólmur,FI306,07:35,Departure
998,Icelandair,07:46,2021-07-24,2021-06-28,París CDG,FI542,07:40,Departure
999,Icelandair,07:40,2021-07-24,2021-06-28,London Heathrow,FI450,07:40,Departure
1000,Icelandair,07:36,2021-07-24,2021-06-28,Amsterdam,FI500,07:40,Departure
1001,Icelandair,07:45,2021-07-24,2021-06-28,Kaupmannahöfn,FI204,07:45,Departure
1002,Icelandair,09:20,2021-07-24,2021-06-28,Boston,FI635,09:20,Departure
1003,Delta,09:39,2021-07-24,2021-06-28,Minneapolis St Paul,DL261,09:30,Departure
1004,Delta,10:27,2021-07-24,2021-06-28,Boston,DL267,10:15,Departure
1005,Atlantic Airways,10:20,2021-07-24,2021-06-28,Vagar,RC402,10:20,Departure
1006,SAS,10:25,2021-07-24,2021-06-28,Kaupmannahöfn,SK596,10:30,Departure
1007,Delta,11:10,2021-07-24,2021-06-28,New York JFK,DL247,11:15,Departure
1008,United Airlines,11:09,2021-07-24,2021-06-28,New York Newark,UA967,11:20,Departure
1009,Air Baltic,15:06,2021-07-24,2021-06-28,Riga,BT170,15:10,Departure
1010,Icelandair,16:13,2021-07-24,2021-06-28,Kaupmannahöfn,FI216,16:10,Departure
1011,Icelandair,16:29,2021-07-24,2021-06-28,Billund,FI274,16:40,Departure
1012,Icelandair,16:42,2021-07-24,2021-06-28,Chicago,FI853,16:45,Departure
1013,Icelandair,16:41,2021-07-24,2021-06-28,Washington Dulles,FI645,16:50,Departure
1014,Icelandair,16:57,2021-07-24,2021-06-28,Denver,FI671,16:55,Departure
1015,Icelandair,16:46,2021-07-24,2021-06-28,New York JFK,FI615,17:00,Departure
1016,Icelandair,17:08,2021-07-24,2021-06-28,Seattle,FI681,17:05,Departure
1017,Vueling,16:56,2021-07-24,2021-06-28,Barcelona,VY8561,17:10,Departure
1018,Icelandair,17:12,2021-07-24,2021-06-28,Boston,FI631,17:15,Departure
1019,Transavia,18:35,2021-07-24,2021-06-28,Amsterdam,HV6888,18:20,Departure
1020,Wizz Air,19:48,2021-07-24,2021-06-28,Katowice,W61168,20:00,Departure
1021,Wizz Air,00:24,2021-07-24,2021-06-27,Varsjá,W61540,00:10,Departure
1022,Lufthansa,01:11,2021-07-24,2021-06-27,Munchen,LH2469,01:05,Departure
1023,Czech Airlines,01:23,2021-07-24,2021-06-27,Prag,OK461,01:30,Departure
1024,Iberia Express,01:41,2021-07-24,2021-06-27,Madríd,I23661,01:35,Departure
1025,Icelandair,08:01,2021-07-24,2021-06-27,Zurich,FI568,07:20,Departure
1026,Icelandair,07:32,2021-07-24,2021-06-27,Frankfurt,FI520,07:25,Departure
1027,Icelandair,07:53,2021-07-24,2021-06-27,Stokkhólmur,FI306,07:35,Departure
1028,Icelandair,07:54,2021-07-24,2021-06-27,Berlin Brandenburg,FI528,07:40,Departure
1029,Icelandair,07:43,2021-07-24,2021-06-27,París CDG,FI542,07:40,Departure
1030,Icelandair,07:32,2021-07-24,2021-06-27,Amsterdam,FI500,07:40,Departure
1031,Icelandair,07:47,2021-07-24,2021-06-27,London Heathrow,FI450,07:40,Departure
1032,Icelandair,07:40,2021-07-24,2021-06-27,Brussel,FI554,07:40,Departure
1033,Icelandair,07:37,2021-07-24,2021-06-27,Kaupmannahöfn,FI204,07:45,Departure
1034,Icelandair,07:44,2021-07-24,2021-06-27,Osló,FI318,07:50,Departure
1035,Wizz Air,09:02,2021-07-24,2021-06-27,Wroclaw,W61898,08:55,Departure
1036,Delta,09:26,2021-07-24,2021-06-27,Minneapolis St Paul,DL261,09:30,Departure
1037,EasyJet,09:48,2021-07-24,2021-06-27,London Luton,EZY2296,09:35,Departure
1038,SAS,09:55,2021-07-24,2021-06-27,Kaupmannahöfn,SK596,09:55,Departure
1039,EasyJet,09:56,2021-07-24,2021-06-27,Manchester,EZY1808,10:00,Departure
1040,Delta,10:12,2021-07-24,2021-06-27,Boston,DL267,10:15,Departure
1041,Eurowings,10:27,2021-07-24,2021-06-27,Hamborg,EW7809,10:35,Departure
1042,Delta,11:05,2021-07-24,2021-06-27,New York JFK,DL247,11:15,Departure
1043,United Airlines,11:17,2021-07-24,2021-06-27,New York Newark,UA967,11:20,Departure
1044,SAS,12:44,2021-07-24,2021-06-27,Osló,SK4788,12:45,Departure
1045,EasyJet,15:03,2021-07-24,2021-06-27,Edinborg,EZY6942,15:05,Departure
1046,Air Baltic,15:04,2021-07-24,2021-06-27,Riga,BT170,15:10,Departure
1047,Play,15:20,2021-07-24,2021-06-27,London Stansted,OG804,15:15,Departure
1048,Icelandair,16:03,2021-07-24,2021-06-27,Kaupmannahöfn,FI216,16:10,Departure
1049,Icelandair,16:59,2021-07-24,2021-06-27,Minneapolis St Paul,FI657,16:45,Departure
1050,Icelandair,16:38,2021-07-24,2021-06-27,Chicago,FI853,16:45,Departure
1051,Icelandair,16:50,2021-07-24,2021-06-27,Washington Dulles,FI645,16:50,Departure
1052,Icelandair,17:07,2021-07-24,2021-06-27,Denver,FI671,16:55,Departure
1053,Icelandair,17:07,2021-07-24,2021-06-27,New York JFK,FI615,17:00,Departure
1054,Icelandair,16:55,2021-07-24,2021-06-27,New York Newark,FI623,17:00,Departure
1055,Icelandair,17:14,2021-07-24,2021-06-27,Seattle,FI681,17:05,Departure
1056,Icelandair,17:15,2021-07-24,2021-06-27,Boston,FI631,17:15,Departure
1057,Wizz Air,19:02,2021-07-24,2021-06-27,Riga,W62598,18:50,Departure
1058,Transavia,20:04,2021-07-24,2021-06-27,Amsterdam,HV6886,20:05,Departure
1059,Lufthansa,00:42,2021-07-24,2021-06-26,Frankfurt,LH869,00:25,Departure
1060,Icelandair,07:22,2021-07-24,2021-06-26,Zurich,FI568,07:20,Departure
1061,Icelandair,07:28,2021-07-24,2021-06-26,Genf,FI564,07:20,Departure
1062,Icelandair,07:27,2021-07-24,2021-06-26,Munchen,FI532,07:20,Departure
1063,Icelandair,07:26,2021-07-24,2021-06-26,Frankfurt,FI520,07:25,Departure
1064,Icelandair,07:37,2021-07-24,2021-06-26,Helsinki,FI342,07:30,Departure
1065,Icelandair,07:34,2021-07-24,2021-06-26,Stokkhólmur,FI306,07:35,Departure
1066,Icelandair,07:43,2021-07-24,2021-06-26,París CDG,FI542,07:40,Departure
1067,Icelandair,07:47,2021-07-24,2021-06-26,Berlin Brandenburg,FI528,07:40,Departure
1068,Icelandair,07:50,2021-07-24,2021-06-26,London Heathrow,FI450,07:40,Departure
1069,Icelandair,07:41,2021-07-24,2021-06-26,Amsterdam,FI500,07:40,Departure
1070,Icelandair,07:52,2021-07-24,2021-06-26,Kaupmannahöfn,FI204,07:45,Departure
1071,Icelandair,08:35,2021-07-24,2021-06-26,Tenerife South,FI580,08:40,Departure
1072,Icelandair,09:04,2021-07-24,2021-06-26,Boston,FI635,09:20,Departure
1073,Delta,09:15,2021-07-24,2021-06-26,Minneapolis St Paul,DL261,09:30,Departure
1074,British Airways,09:56,2021-07-24,2021-06-26,London Heathrow,BA801,10:10,Departure
1075,Delta,10:05,2021-07-24,2021-06-26,Boston,DL267,10:15,Departure
1076,Delta,11:08,2021-07-24,2021-06-26,New York JFK,DL247,11:15,Departure
1077,United Airlines,11:19,2021-07-24,2021-06-26,New York Newark,UA967,11:20,Departure
1078,Lufthansa,13:30,2021-07-24,2021-06-26,Frankfurt,LH857,13:35,Departure
1079,Wizz Air,15:42,2021-07-24,2021-06-26,Dortmund,W64714,15:50,Departure
1080,Wizz Air,16:02,2021-07-24,2021-06-26,Vín,W62858,16:05,Departure
1081,Icelandair,16:17,2021-07-24,2021-06-26,Kaupmannahöfn,FI216,16:25,Departure
1082,Icelandair,17:20,2021-07-24,2021-06-26,Minneapolis St Paul,FI657,16:45,Departure
1083,Icelandair,17:04,2021-07-24,2021-06-26,Chicago,FI853,16:45,Departure
