,CreationDate,Date,Type,Scheduled,Destination,FlightNumber,Airline,Confirmed
9301,2021-09-05,2022-03-12,Departure,07:25,Frankfurt,FI520,Icelandair,Á áætlun
9302,2021-09-05,2022-03-12,Departure,07:30,Helsinki,FI342,Icelandair,Á áætlun
9303,2021-09-05,2022-03-12,Departure,07:35,París CDG,FI542,Icelandair,Á áætlun
9304,2021-09-05,2022-03-12,Departure,07:35,Stokkhólmur,FI306,Icelandair,Á áætlun
9305,2021-09-05,2022-03-12,Departure,07:35,Glasgow,FI430,Icelandair,Á áætlun
9306,2021-09-05,2022-03-12,Departure,07:40,London Heathrow,FI450,Icelandair,Á áætlun
9307,2021-09-05,2022-03-12,Departure,07:40,Amsterdam,FI500,Icelandair,Á áætlun
9308,2021-09-05,2022-03-12,Departure,07:40,Brussel,FI554,Icelandair,Á áætlun
9309,2021-09-05,2022-03-12,Departure,07:40,Berlin Brandenburg,FI528,Icelandair,Á áætlun
9310,2021-09-05,2022-03-12,Departure,07:45,Kaupmannahöfn,FI204,Icelandair,Á áætlun
9311,2021-09-05,2022-03-12,Departure,07:45,Dublin,FI416,Icelandair,Á áætlun
9312,2021-09-05,2022-03-12,Departure,07:45,London Gatwick,FI470,Icelandair,Á áætlun
9313,2021-09-05,2022-03-12,Departure,07:45,París CDG,FI544,Icelandair,Á áætlun
9314,2021-09-05,2022-03-12,Departure,07:50,Osló,FI318,Icelandair,Á áætlun
9315,2021-09-05,2022-03-12,Departure,08:00,Kaupmannahöfn,FI206,Icelandair,Á áætlun
9316,2021-09-05,2022-03-12,Departure,08:00,Manchester,FI440,Icelandair,Á áætlun
9317,2021-09-05,2022-03-12,Departure,08:20,Tenerife South,FI580,Icelandair,Á áætlun
9318,2021-09-05,2022-03-12,Departure,08:20,Alicante,FI1582,Icelandair,Á áætlun
9319,2021-09-05,2022-03-12,Departure,08:25,Hamborg,FI510,Icelandair,Á áætlun
9320,2021-09-05,2022-03-12,Departure,09:00,Tenerife South,OG620,Play,Á áætlun
9321,2021-09-05,2022-03-12,Departure,09:00,Alicante,OG600,Play,Á áætlun
9322,2021-09-05,2022-03-12,Departure,09:30,París Orly,TO4059,Transavia,Á áætlun
9323,2021-09-05,2022-03-12,Departure,09:40,London Luton,W94498,Wizz Air,Á áætlun
9324,2021-09-05,2022-03-12,Departure,10:20,London Luton,EZY2296,EasyJet,Á áætlun
9325,2021-09-05,2022-03-12,Departure,10:25,Vín,W62858,Wizz Air,Á áætlun
9326,2021-09-05,2022-03-12,Departure,10:55,Rome Fiumicino,W68266,Wizz Air,Á áætlun
9327,2021-09-05,2022-03-12,Departure,11:15,Manchester,EZY1806,EasyJet,Á áætlun
9328,2021-09-05,2022-03-12,Departure,11:15,Kaupmannahöfn,SK596,SAS,Á áætlun
9329,2021-09-05,2022-03-12,Departure,11:30,London Heathrow,BA895,British Airways,Á áætlun
9330,2021-09-05,2022-03-12,Departure,12:45,Osló,SK4788,SAS,Á áætlun
9331,2021-09-05,2022-03-12,Departure,14:00,Kaupmannahöfn,FI212,Icelandair,Á áætlun
9332,2021-09-05,2022-03-12,Departure,16:10,Kaupmannahöfn,FI216,Icelandair,Á áætlun
9333,2021-09-05,2022-03-12,Departure,16:20,London Heathrow,FI454,Icelandair,Á áætlun
9334,2021-09-05,2022-03-12,Departure,16:45,Minneapolis St Paul,FI657,Icelandair,Á áætlun
9335,2021-09-05,2022-03-12,Departure,16:45,Chicago,FI853,Icelandair,Á áætlun
9336,2021-09-05,2022-03-12,Departure,16:50,Washington Dulles,FI645,Icelandair,Á áætlun
9337,2021-09-05,2022-03-12,Departure,16:55,Denver,FI671,Icelandair,Á áætlun
9338,2021-09-05,2022-03-12,Departure,17:00,New York JFK,FI615,Icelandair,Á áætlun
9339,2021-09-05,2022-03-12,Departure,17:00,New York Newark,FI623,Icelandair,Á áætlun
9340,2021-09-05,2022-03-12,Departure,17:05,Nuuk,GL711,Air Greenland,Á áætlun
9341,2021-09-05,2022-03-12,Departure,17:05,Edinborg,EZY6942,EasyJet,Á áætlun
9342,2021-09-05,2022-03-12,Departure,17:05,Toronto,FI603,Icelandair,Á áætlun
9343,2021-09-05,2022-03-12,Departure,17:05,Seattle,FI681,Icelandair,Á áætlun
9344,2021-09-05,2022-03-12,Departure,17:15,Boston,FI631,Icelandair,Á áætlun
9345,2021-09-05,2022-03-12,Departure,17:15,Orlando,FI689,Icelandair,Á áætlun
9346,2021-09-05,2022-03-12,Departure,17:15,Vancouver,FI697,Icelandair,Á áætlun
9347,2021-09-05,2022-03-12,Departure,19:30,London Gatwick,EZY8508,EasyJet,Á áætlun
9348,2021-09-05,2022-03-12,Departure,20:10,London Luton,EZY2298,EasyJet,Á áætlun
9349,2021-09-05,2022-03-12,Departure,21:15,Katowice,W61168,Wizz Air,Á áætlun
9350,2021-09-05,2022-03-12,Departure,21:35,Búdapest,W62428,Wizz Air,Á áætlun
9351,2021-09-05,2022-03-13,Departure,06:00,Berlin Brandenburg,OG700,Play,Á áætlun
9352,2021-09-05,2022-03-13,Departure,06:00,París CDG,OG400,Play,Á áætlun
9353,2021-09-05,2022-03-13,Departure,07:20,Zurich,FI568,Icelandair,Á áætlun
9354,2021-09-05,2022-03-13,Departure,07:20,Munchen,FI532,Icelandair,Á áætlun
9355,2021-09-05,2022-03-13,Departure,07:25,Frankfurt,FI520,Icelandair,Á áætlun
9356,2021-09-05,2022-03-13,Departure,07:30,Helsinki,FI342,Icelandair,Á áætlun
9357,2021-09-05,2022-03-13,Departure,07:35,París CDG,FI542,Icelandair,Á áætlun
9358,2021-09-05,2022-03-13,Departure,07:35,Glasgow,FI430,Icelandair,Á áætlun
9359,2021-09-05,2022-03-13,Departure,07:35,Stokkhólmur,FI306,Icelandair,Á áætlun
9360,2021-09-05,2022-03-13,Departure,07:40,Hamborg,FI510,Icelandair,Á áætlun
9361,2021-09-05,2022-03-13,Departure,07:40,London Heathrow,FI450,Icelandair,Á áætlun
9362,2021-09-05,2022-03-13,Departure,07:40,Amsterdam,FI500,Icelandair,Á áætlun
9363,2021-09-05,2022-03-13,Departure,07:40,Brussel,FI554,Icelandair,Á áætlun
9364,2021-09-05,2022-03-13,Departure,07:40,Berlin Brandenburg,FI528,Icelandair,Á áætlun
9365,2021-09-05,2022-03-13,Departure,07:45,Kaupmannahöfn,FI204,Icelandair,Á áætlun
9366,2021-09-05,2022-03-13,Departure,07:45,London Gatwick,FI470,Icelandair,Á áætlun
9367,2021-09-05,2022-03-13,Departure,07:45,Dublin,FI416,Icelandair,Á áætlun
9368,2021-09-05,2022-03-13,Departure,07:45,París CDG,FI544,Icelandair,Á áætlun
9369,2021-09-05,2022-03-13,Departure,07:50,Osló,FI318,Icelandair,Á áætlun
9370,2021-09-05,2022-03-13,Departure,08:00,Manchester,FI440,Icelandair,Á áætlun
9371,2021-09-05,2022-03-13,Departure,08:00,Kaupmannahöfn,FI206,Icelandair,Á áætlun
9372,2021-09-05,2022-03-13,Departure,08:20,Tenerife South,FI580,Icelandair,Á áætlun
9373,2021-09-05,2022-03-13,Departure,08:45,Osló,DY1171,Norwegian,Á áætlun
9374,2021-09-05,2022-03-13,Departure,09:15,Kaupmannahöfn,SK596,SAS,Á áætlun
9375,2021-09-05,2022-03-13,Departure,09:55,London Luton,EZY2296,EasyJet,Á áætlun
9376,2021-09-05,2022-03-13,Departure,10:30,Manchester,EZY1806,EasyJet,Á áætlun
9377,2021-09-05,2022-03-13,Departure,11:10,London Gatwick,EZY8504,EasyJet,Á áætlun
9378,2021-09-05,2022-03-13,Departure,11:25,Bristol,EZY6022,EasyJet,Á áætlun
9379,2021-09-05,2022-03-13,Departure,11:50,Napoli Capodichino,W68434,Wizz Air,Á áætlun
9380,2021-09-05,2022-03-13,Departure,11:55,Osló,SK4788,SAS,Á áætlun
9381,2021-09-05,2022-03-13,Departure,12:20,London Heathrow,BA895,British Airways,Á áætlun
9382,2021-09-05,2022-03-13,Departure,14:00,Kaupmannahöfn,FI212,Icelandair,Á áætlun
9383,2021-09-05,2022-03-13,Departure,14:55,Frankfurt,LH857,Lufthansa,Á áætlun
9384,2021-09-05,2022-03-13,Departure,16:00,London Stansted,OG804,Play,Á áætlun
9385,2021-09-05,2022-03-13,Departure,16:00,Kaupmannahöfn,OG904,Play,Á áætlun
9386,2021-09-05,2022-03-13,Departure,16:10,Stokkhólmur,FI312,Icelandair,Á áætlun
9387,2021-09-05,2022-03-13,Departure,16:10,Amsterdam,FI504,Icelandair,Á áætlun
9388,2021-09-05,2022-03-13,Departure,16:10,Kaupmannahöfn,FI216,Icelandair,Á áætlun
9389,2021-09-05,2022-03-13,Departure,16:20,London Heathrow,FI454,Icelandair,Á áætlun
9390,2021-09-05,2022-03-13,Departure,16:25,Osló,FI324,Icelandair,Á áætlun
9391,2021-09-05,2022-03-13,Departure,16:30,London Gatwick,FI476,Icelandair,Á áætlun
9392,2021-09-05,2022-03-13,Departure,16:45,Minneapolis St Paul,FI657,Icelandair,Á áætlun
9393,2021-09-05,2022-03-13,Departure,16:45,Chicago,FI853,Icelandair,Á áætlun
9394,2021-09-05,2022-03-13,Departure,16:50,Washington Dulles,FI645,Icelandair,Á áætlun
9395,2021-09-05,2022-03-13,Departure,16:55,Denver,FI671,Icelandair,Á áætlun
9396,2021-09-05,2022-03-13,Departure,17:00,New York JFK,FI615,Icelandair,Á áætlun
9397,2021-09-05,2022-03-13,Departure,17:00,New York Newark,FI623,Icelandair,Á áætlun
9398,2021-09-05,2022-03-13,Departure,17:05,Toronto,FI603,Icelandair,Á áætlun
9399,2021-09-05,2022-03-13,Departure,17:05,Seattle,FI681,Icelandair,Á áætlun
9400,2021-09-05,2022-03-13,Departure,17:15,Boston,FI631,Icelandair,Á áætlun
9401,2021-09-05,2022-03-13,Departure,17:15,Vancouver,FI697,Icelandair,Á áætlun
9402,2021-09-05,2022-03-13,Departure,17:15,Orlando,FI689,Icelandair,Á áætlun
9403,2021-09-05,2022-03-13,Departure,17:50,Riga,BT170,Air Baltic,Á áætlun
9404,2021-09-05,2022-03-13,Departure,19:55,Amsterdam,HV6886,Transavia,Á áætlun
9405,2021-09-05,2022-03-13,Departure,21:10,Edinborg,EZY6942,EasyJet,Á áætlun
9406,2021-09-05,2022-03-13,Departure,21:35,Wroclaw,W61898,Wizz Air,Á áætlun
9407,2021-09-05,2022-03-14,Departure,01:10,Varsjá,W61540,Wizz Air,Á áætlun
9408,2021-09-05,2022-03-14,Departure,06:30,London Stansted,OG800,Play,Á áætlun
9409,2021-09-05,2022-03-14,Departure,06:30,Kaupmannahöfn,OG900,Play,Á áætlun
9410,2021-09-05,2022-03-14,Departure,07:20,Zurich,FI568,Icelandair,Á áætlun
9411,2021-09-05,2022-03-14,Departure,07:20,Munchen,FI532,Icelandair,Á áætlun
9412,2021-09-05,2022-03-14,Departure,07:25,Frankfurt,FI520,Icelandair,Á áætlun
9413,2021-09-05,2022-03-14,Departure,07:30,Helsinki,FI342,Icelandair,Á áætlun
9414,2021-09-05,2022-03-14,Departure,07:35,París CDG,FI542,Icelandair,Á áætlun
9415,2021-09-05,2022-03-14,Departure,07:35,Glasgow,FI430,Icelandair,Á áætlun
9416,2021-09-05,2022-03-14,Departure,07:35,Stokkhólmur,FI306,Icelandair,Á áætlun
9417,2021-09-05,2022-03-14,Departure,07:40,Hamborg,FI510,Icelandair,Á áætlun
9418,2021-09-05,2022-03-14,Departure,07:40,London Heathrow,FI450,Icelandair,Á áætlun
9419,2021-09-05,2022-03-14,Departure,07:40,Amsterdam,FI500,Icelandair,Á áætlun
9420,2021-09-05,2022-03-14,Departure,07:40,Berlin Brandenburg,FI528,Icelandair,Á áætlun
9421,2021-09-05,2022-03-14,Departure,07:40,Brussel,FI554,Icelandair,Á áætlun
9422,2021-09-05,2022-03-14,Departure,07:45,Kaupmannahöfn,FI204,Icelandair,Á áætlun
9423,2021-09-05,2022-03-14,Departure,07:45,London Gatwick,FI470,Icelandair,Á áætlun
9424,2021-09-05,2022-03-14,Departure,07:45,Dublin,FI416,Icelandair,Á áætlun
9425,2021-09-05,2022-03-14,Departure,07:50,Osló,FI318,Icelandair,Á áætlun
9426,2021-09-05,2022-03-14,Departure,08:00,Manchester,FI440,Icelandair,Á áætlun
9427,2021-09-05,2022-03-14,Departure,08:00,Kaupmannahöfn,FI206,Icelandair,Á áætlun
9428,2021-09-05,2022-03-14,Departure,08:20,Tenerife South,NO1924,Neos,Á áætlun
9429,2021-09-05,2022-03-14,Departure,08:30,Tenerife South,FI1514,Icelandair,Á áætlun
9430,2021-09-05,2022-03-14,Departure,10:35,Mílanó,W65566,Wizz Air,Á áætlun
9431,2021-09-05,2022-03-14,Departure,11:15,East Midlands,LS4092,JET2.Com,Á áætlun
9432,2021-09-05,2022-03-14,Departure,11:20,Kaupmannahöfn,SK596,SAS,Á áætlun
9433,2021-09-05,2022-03-14,Departure,11:25,Vagar,RC402,Atlantic Airways,Á áætlun
9434,2021-09-05,2022-03-14,Departure,11:45,Birmingham,LS4090,JET2.Com,Á áætlun
9435,2021-09-05,2022-03-14,Departure,12:15,Manchester,LS4088,JET2.Com,Á áætlun
